date,dow,month,title,genre,receipts,zinz,double,composer,author
1789-02-26,Thu,Feb,Grafen Guiscardi,T,14597,FALSE,FALSE,,Ehrenberg
1789-03-01,Sun,Mar,Der Vizekanzler,S,38216,TRUE,FALSE,,Kratter
1789-03-02,Mon,Mar,Der Vizekanzler,S,29500,FALSE,FALSE,,Kratter
1789-03-03,Tue,Mar,Die drey Töchter,L,12065,TRUE,FALSE,,Spieß
1789-03-05,Thu,Mar,Agnes Bernauerinn,T,30428,FALSE,FALSE,,Törring und Cronsfeld
1789-03-08,Sun,Mar,Der Vizekanzler,S,36052,TRUE,FALSE,,Kratter
1789-03-09,Mon,Mar,Das Herz behält seine Rechte,S,10633,TRUE,FALSE,,Beck
1789-03-10,Tue,Mar,Der Revers,L,7793,TRUE,FALSE,,Jünger
1789-03-12,Thu,Mar,Der Mönch vom Carmel,T,17021,FALSE,FALSE,,Cumberland
1789-03-15,Sun,Mar,L'ape musicale,C,19359,TRUE,FALSE,,
1789-03-16,Mon,Mar,Nina (play),L,9945,FALSE,TRUE,,Marsollier
1789-03-17,Tue,Mar,Der Vizekanzler,S,25901,FALSE,FALSE,,Kratter
1789-03-19,Thu,Mar,Der König Lear,T,34342,FALSE,FALSE,,Shakespeare
1789-03-22,Sun,Mar,Der Vizekanzler,S,32177,FALSE,FALSE,,Kratter
1789-03-23,Mon,Mar,Der Hausvater,S,10131,TRUE,FALSE,,Diderot
1789-03-24,Tue,Mar,Romeo und Julie,T,16787,FALSE,FALSE,,Shakespeare
1789-03-26,Thu,Mar,Fiesco,T,34794,TRUE,FALSE,,Schiller
1789-03-29,Sun,Mar,Der Advokat zu Cordoua,L,33251,TRUE,FALSE,,Fletcher
1789-03-30,Mon,Mar,Der Advokat zu Cordoua,L,18961,FALSE,FALSE,,Fletcher
1789-03-31,Tue,Mar,Der dankbare Sohn,L,7830,FALSE,TRUE,,Engel
1789-04-02,Thu,Apr,Fiesco,T,27307,FALSE,FALSE,,Schiller
1789-04-13,Mon,Apr,Koriolan,T,24929,FALSE,FALSE,,Schink
1789-04-14,Tue,Apr,Fra i due litiganti,O,15454,FALSE,FALSE,Sarti,Goldoni
1789-04-15,Wed,Apr,Koriolan,T,9002,FALSE,FALSE,,Schink
1789-04-19,Sun,Apr,Der Sonderling,L,13138,FALSE,FALSE,,Weidmann
1789-04-20,Mon,Apr,Fra i due litiganti,O,6985,TRUE,FALSE,Sarti,Goldoni
1789-04-21,Tue,Apr,Der Vizekanzler,S,17987,FALSE,FALSE,,Kratter
1789-04-22,Wed,Apr,Fra i due litiganti,O,4545,TRUE,FALSE,Sarti,Goldoni
1789-04-23,Thu,Apr,Viktorine,L,5598,TRUE,FALSE,,Burney
1789-04-24,Fri,Apr,Fra i due litiganti,O,5342,FALSE,FALSE,Sarti,Goldoni
1789-04-25,Sat,Apr,Hamlet,T,11592,FALSE,FALSE,,Schröder
1789-04-26,Sun,Apr,Fra i due litiganti,O,5791,FALSE,FALSE,Sarti,Goldoni
1789-04-27,Mon,Apr,Minna von Barnhelm,L,7926,FALSE,FALSE,,Lessing
1789-04-28,Tue,Apr,Il turco in Italia,O,25139,TRUE,FALSE,Seydelmann,Mazzolà
1789-04-29,Wed,Apr,Erwine von Steinheim,T,9956,FALSE,FALSE,,Blumauer
1789-04-30,Thu,Apr,Il turco in Italia,O,6897,FALSE,FALSE,Seydelmann,Mazzolà
1789-05-01,Fri,May,Die Jäger,G,5918,TRUE,FALSE,,Iffland
1789-05-02,Sat,May,Il turco in Italia,O,4268,TRUE,FALSE,Seydelmann,Mazzolà
1789-05-03,Sun,May,Die drey Töchter,L,4048,TRUE,FALSE,,Spieß
1789-05-04,Mon,May,Fra i due litiganti,O,2400,TRUE,FALSE,Sarti,Goldoni
1789-05-05,Tue,May,Die Glücksritter,L,5135,FALSE,FALSE,,Farquhar
1789-05-06,Wed,May,Il turco in Italia,O,4515,FALSE,FALSE,Seydelmann,Mazzolà
1789-05-07,Thu,May,Der Landphilosoph,L,7585,FALSE,FALSE,,Weidmann
1789-05-08,Fri,May,Fra i due litiganti,O,4609,FALSE,FALSE,Sarti,Goldoni
